"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-03-13","POR",96,102,24,49,0.4897959183673469,14,39,0.358974358974359,0.358974358974359,12,20,28,27,15,0.4166666666666667,0.5,0.6428571428571429,0.4431818181818182,0.5114323863636364,0.5113636363636364,0.53125,8,4,0.08163265306122448,1,0.02564102564102564
"2024-03-15","UTA",101,122,21,53,0.39622641509433965,20,39,0.5128205128205128,0.5128205128205128,20,30,12,51,9,0.7142857142857143,0.75,0.85,0.42391304347826086,0.4848304347826087,0.5543478260869565,0.587378640776699,2,7,0.1320754716981132,0,0
"2024-03-17","LAC",92,110,24,50,0.48,17,34,0.5,0.5,11,34,14,45,6,0.7083333333333334,0.85,0.8823529411764706,0.40476190476190477,0.5461904761904762,0.5892857142857143,0.625,8,4,0.08,1,0.029411764705882353
"2024-03-18","LAL",100,105,33,57,0.5789473684210527,9,41,0.21951219512195122,0.21951219512195122,12,48,18,24,3,0.7272727272727273,0.7741935483870968,0.8888888888888888,0.41836734693877553,0.5235209183673469,0.4744897959183674,0.5048076923076923,4,4,0.07017543859649122,0,0
"2024-03-21","PHX",94,115,28,56,0.5,12,35,0.34285714285714286,0.34285714285714286,23,36,20,27,9,0.6428571428571429,0.6666666666666666,0.75,0.38461538461538464,0.5208333333333334,0.5054945054945055,0.558252427184466,2,10,0.17857142857142858,1,0.02857142857142857
"2024-03-23","CHA",91,132,30,48,0.625,20,42,0.47619047619047616,0.4878048780487805,12,44,16,54,6,0.7333333333333333,0.7333333333333333,0.9,0.4666666666666667,0.5859898876404495,0.6666666666666666,0.6894736842105263,0,4,0.08333333333333333,0,0
"2024-03-25","BOS",93,120,28,51,0.5490196078431373,18,36,0.5,0.5,10,30,26,45,9,0.5357142857142857,0.625,0.8333333333333334,0.41379310344827586,0.5790691860465117,0.632183908045977,0.631578947368421,8,7,0.13725490196078433,1,0.027777777777777776
"2024-03-27","POR",99,120,28,44,0.6363636363636364,16,41,0.3902439024390244,0.3902439024390244,16,24,32,33,15,0.42857142857142855,0.4444444444444444,0.6875,0.4823529411764706,0.5507870588235294,0.611764705882353,0.6413043478260869,2,2,0.045454545454545456,0,0
"2024-03-28","BOS",101,123,36,60,0.6,15,44,0.3409090909090909,0.3488372093023256,6,22,50,39,6,0.3055555555555556,0.3548387096774194,0.8666666666666667,0.4230769230769231,0.5271927184466019,0.5625,0.5642201834862385,10,4,0.06666666666666667,2,0.045454545454545456
"2024-03-30","MIL",98,113,28,57,0.49122807017543857,14,35,0.4,0.4,15,22,34,39,3,0.39285714285714285,0.4583333333333333,0.9285714285714286,0.3804347826086957,0.5159874999999999,0.532608695652174,0.5656565656565656,8,5,0.08771929824561403,0,0
"2024-04-01","CHI",96,113,22,42,0.5238095238095238,19,40,0.475,0.475,12,30,14,42,15,0.6818181818181818,0.6818181818181818,0.7368421052631579,0.4878048780487805,0.5623512345679013,0.6158536585365854,0.6277777777777778,0,2,0.047619047619047616,0,0
"2024-04-03","DET",103,121,36,52,0.6923076923076923,13,38,0.34210526315789475,0.35135135135135137,10,46,26,39,0,0.6388888888888888,0.6764705882352942,1,0.4222222222222222,0.5482775280898876,0.6166666666666667,0.6302083333333334,4,3,0.057692307692307696,0,0
"2024-04-04","DAL",103,95,21,47,0.44680851063829785,13,38,0.34210526315789475,0.34210526315789475,14,18,24,36,3,0.42857142857142855,0.45,0.9230769230769231,0.4470588235294118,0.5332094117647059,0.4764705882352941,0.5053191489361702,2,7,0.14893617021276595,0,0
"2024-04-06","DEN",103,110,25,50,0.5,12,37,0.32432432432432434,0.32432432432432434,24,38,12,33,3,0.76,0.8636363636363636,0.9166666666666666,0.42528735632183906,0.5499005747126436,0.4942528735632184,0.5505050505050505,6,6,0.12,1,0.02702702702702703
"2024-04-09","MIA",109,111,35,67,0.5223880597014925,10,46,0.21739130434782608,0.21739130434782608,11,36,34,30,0,0.5142857142857142,0.6,1,0.40707964601769914,0.5388022321428572,0.4424778761061947,0.46638655462184875,10,3,0.04477611940298507,0,0
"2024-04-10","CHA",98,114,25,42,0.5952380952380952,18,40,0.45,0.45,10,38,12,48,6,0.76,0.7916666666666666,0.8888888888888888,0.4878048780487805,0.5712579268292683,0.6341463414634146,0.6404494382022472,2,2,0.047619047619047616,0,0
"2024-04-12","MIN",101,106,31,60,0.5166666666666667,9,30,0.3,0.3,17,38,24,12,15,0.6129032258064516,0.6551724137931034,0.4444444444444444,0.3333333333333333,0.5090772222222222,0.49444444444444446,0.5247524752475248,4,9,0.15,2,0.06666666666666667
"2024-04-14","IND",106,115,27,53,0.5094339622641509,12,36,0.3333333333333333,0.3333333333333333,25,28,26,33,3,0.5185185185185185,0.56,0.9166666666666666,0.4044943820224719,0.5087775280898876,0.5056179775280899,0.5693069306930693,4,6,0.11320754716981132,0,0
